date	ouv	haut	bas	clot	vol	devise	
08/01/2009 00:00	33.43	33.655	32.62	33.345	1058012	EUR	
09/01/2009 00:00	33.5	34.6	33.02	33.36	1285213	EUR	
12/01/2009 00:00	33.19	33.42	30.94	30.94	1765099	EUR	
13/01/2009 00:00	30.665	30.99	29.42	29.73	1902222	EUR	
14/01/2009 00:00	30.02	30.31	27.885	27.95	1918503	EUR	
15/01/2009 00:00	28.005	28.64	27.15	28.055	1874601	EUR	
16/01/2009 00:00	28.785	29.63	28.325	28.525	1309709	EUR	
19/01/2009 00:00	28.98	29.175	27.53	27.93	870374	EUR	
20/01/2009 00:00	27.9	28.965	27	27.1	1605843	EUR	
21/01/2009 00:00	26.505	27.095	25.95	26.52	2651865	EUR	
22/01/2009 00:00	26.88	27.4	25.87	26.06	1448108	EUR	
23/01/2009 00:00	26.05	26.48	25.18	25.75	1596636	EUR	
26/01/2009 00:00	25.595	27.4	25.52	27.325	1725108	EUR	
27/01/2009 00:00	27.425	27.425	26.46	27	1899417	EUR	
28/01/2009 00:00	27.595	28.15	27.475	27.82	1830587	EUR	
29/01/2009 00:00	27.685	27.86	26.81	27.17	1236171	EUR	
30/01/2009 00:00	27	27.57	26.56	26.76	1605170	EUR	
02/02/2009 00:00	26.495	26.55	25.7	26.19	1362360	EUR	
03/02/2009 00:00	26.6	27.09	26.09	27	1353545	EUR	
04/02/2009 00:00	27.26	29.11	26.8	28.78	1930981	EUR	
05/02/2009 00:00	28.26	28.71	27.36	28.44	1263318	EUR	
06/02/2009 00:00	28.675	29.655	28.5	29.65	1936487	EUR	
09/02/2009 00:00	29.47	30.245	29.17	30.2	1389960	EUR	
10/02/2009 00:00	29.93	29.93	28.56	28.56	1169218	EUR	
11/02/2009 00:00	28.495	29.39	28	29.17	1025242	EUR	
12/02/2009 00:00	29.05	29.095	27.48	27.83	1243890	EUR	
13/02/2009 00:00	28.305	28.96	28.125	28.46	906824	EUR	
