date	ouv	haut	bas	clot	vol	devise	
10/04/2014 00:00	6.1	6.21	6.1	6.21	1409	EUR	
11/04/2014 00:00	6.21	6.21	6	6	1610	EUR	
14/04/2014 00:00	5.99	6	5.63	6	2929	EUR	
15/04/2014 00:00	5.99	5.99	5.99	5.99	1	EUR	
16/04/2014 00:00	5.99	5.99	5.79	5.83	128	EUR	
17/04/2014 00:00	5.83	6	5.83	6	31	EUR	
22/04/2014 00:00	5.99	6	5.75	5.75	1011	EUR	
23/04/2014 00:00	5.75	6	5.75	6	11	EUR	
24/04/2014 00:00	5.99	5.99	5.7	5.7	901	EUR	
25/04/2014 00:00	5.7	5.7	5.7	5.7	1	EUR	
28/04/2014 00:00	5.7	5.9	5.15	5.9	796	EUR	
29/04/2014 00:00	5.84	5.84	5.5	5.5	201	EUR	
30/04/2014 00:00	5.5	5.5	5.5	5.5	221	EUR	
02/05/2014 00:00	5.5	5.5	5.15	5.15	101	EUR	
05/05/2014 00:00	5.14	5.14	5.14	5.14	1	EUR	
06/05/2014 00:00	5.14	5.14	5.14	5.14	1	EUR	
07/05/2014 00:00	5.11	5.15	4.95	5.15	4891	EUR	
08/05/2014 00:00	5.14	5.14	5.14	5.14	1	EUR	
09/05/2014 00:00	5.14	5.14	4.9	4.9	329	EUR	
12/05/2014 00:00	4.91	4.91	4.91	4.91	1	EUR	
13/05/2014 00:00	4.91	5	4.91	5	51	EUR	
14/05/2014 00:00	4.99	4.99	4.99	4.99	1	EUR	
15/05/2014 00:00	5	5.25	4.89	5.25	5451	EUR	
16/05/2014 00:00	5.24	5.25	5.24	5.25	23	EUR	
19/05/2014 00:00	5.24	5.35	5.17	5.17	2219	EUR	
20/05/2014 00:00	5.18	5.18	4.66	4.94	1745	EUR	
21/05/2014 00:00	4.91	4.91	4.85	4.85	451	EUR	
22/05/2014 00:00	4.85	4.94	4.85	4.94	301	EUR	
23/05/2014 00:00	4.93	5.25	4.8	5.25	1951	EUR	
26/05/2014 00:00	5.25	5.25	4.74	4.9	2447	EUR	
27/05/2014 00:00	4.9	4.9	4.9	4.9	1	EUR	
28/05/2014 00:00	4.9	4.9	4.9	4.9	1	EUR	
29/05/2014 00:00	4.89	4.89	4.89	4.89	1	EUR	
30/05/2014 00:00	4.89	6	4.89	6	28471	EUR	
02/06/2014 00:00	6	6.01	5.9	5.9	6277	EUR	
03/06/2014 00:00	5.9	6	5.8	6	5301	EUR	
04/06/2014 00:00	5.99	5.99	5.99	5.99	1	EUR	
05/06/2014 00:00	5.99	5.99	5.7	5.99	2319	EUR	
06/06/2014 00:00	5.98	5.98	5.98	5.98	1	EUR	
09/06/2014 00:00	5.98	5.98	5.98	5.98	1	EUR	
10/06/2014 00:00	5.98	6.05	5.75	6.05	5011	EUR	
11/06/2014 00:00	6.05	6.59	6.05	6.4	14602	EUR	
12/06/2014 00:00	6.45	6.45	5.84	6.3	7045	EUR	
13/06/2014 00:00	6.3	6.3	5.99	6.1	2841	EUR	
16/06/2014 00:00	5.97	6	5.97	6	59	EUR	
17/06/2014 00:00	5.99	6	5.99	5.98	1511	EUR	
18/06/2014 00:00	5.97	5.98	5.97	5.98	201	EUR	
19/06/2014 00:00	5.97	5.98	5.9	5.95	5333	EUR	
23/06/2014 00:00	5.8	5.8	5.8	5.8	21	EUR	
24/06/2014 00:00	5.79	5.87	5.5	5.87	2257	EUR	
25/06/2014 00:00	5.79	5.79	5.35	5.35	1221	EUR	
26/06/2014 00:00	5.34	5.35	5	5	4463	EUR	
27/06/2014 00:00	4.99	5	4.99	5	71	EUR	
30/06/2014 00:00	4.91	4.92	4.91	4.92	521	EUR	
01/07/2014 00:00	4.94	5	4.8	5	4269	EUR	
02/07/2014 00:00	4.99	5.05	4.51	5	20755	EUR	
03/07/2014 00:00	4.98	5	4.9	5	5556	EUR	
04/07/2014 00:00	4.99	5	4.75	5	3801	EUR	
07/07/2014 00:00	4.99	5	4.9	5	3221	EUR	
08/07/2014 00:00	4.99	4.99	4.99	4.99	801	EUR	
09/07/2014 00:00	4.99	4.99	4.5	4.8	9802	EUR	
10/07/2014 00:00	4.77	4.77	4.65	4.65	7	EUR	
11/07/2014 00:00	4.4	4.4	4.4	4.4	881	EUR	
14/07/2014 00:00	4.41	4.41	4.41	4.41	1	EUR	
15/07/2014 00:00	4.41	4.41	4.4	4.4	721	EUR	
16/07/2014 00:00	4.38	4.4	4.38	4.4	1056	EUR	
