date	ouv	haut	bas	clot	vol	devise	
08/01/2009 00:00	46.75	47.26	46.215	46.82	2811676	EUR	
09/01/2009 00:00	46.815	47.98	46.34	47.335	2677417	EUR	
12/01/2009 00:00	46.94	47.55	46.72	47.16	1848375	EUR	
13/01/2009 00:00	47.155	48.2	46.945	47.72	3175188	EUR	
14/01/2009 00:00	47.41	48.935	47.41	48.69	6782492	EUR	
15/01/2009 00:00	48.75	49.06	47.45	48.15	4773981	EUR	
16/01/2009 00:00	48.555	49.575	48.1	48.94	4210420	EUR	
19/01/2009 00:00	49.245	49.71	48.575	49.09	3166253	EUR	
20/01/2009 00:00	48.94	49.93	48.585	48.94	4011020	EUR	
21/01/2009 00:00	48.4	49.1	47.03	47.415	6051938	EUR	
22/01/2009 00:00	47.725	47.73	46.33	46.81	4176369	EUR	
23/01/2009 00:00	46.62	47.75	46.31	47.45	4598213	EUR	
26/01/2009 00:00	46.75	47.35	45.82	46.55	4796671	EUR	
27/01/2009 00:00	46.345	46.74	44.83	45.3	4835560	EUR	
28/01/2009 00:00	45.01	45.29	43.78	43.9	6710301	EUR	
29/01/2009 00:00	43.955	44.425	43.365	43.61	4205104	EUR	
30/01/2009 00:00	43.61	44.685	43.55	44.085	4618187	EUR	
02/02/2009 00:00	43.735	44.61	43.135	44.41	3313637	EUR	
03/02/2009 00:00	44.855	45.4	44	45.255	3796924	EUR	
04/02/2009 00:00	45.25	45.6	44.57	45.235	4432929	EUR	
05/02/2009 00:00	44.64	45.7	44.25	45.7	3529043	EUR	
06/02/2009 00:00	45.995	45.995	44.055	44.59	5142235	EUR	
09/02/2009 00:00	44.295	45.315	44.14	44.68	3584271	EUR	
10/02/2009 00:00	44.46	45.9	43.75	43.95	3880135	EUR	
11/02/2009 00:00	44.5	47.49	44.5	47.49	6997152	EUR	
12/02/2009 00:00	47.03	47.24	46.11	46.365	5084138	EUR	
13/02/2009 00:00	46.835	47.5	46.57	46.975	3755914	EUR	
16/02/2009 00:00	46.405	46.9	45.86	46.41	2454788	EUR	
17/02/2009 00:00	45.995	46.325	45.57	46.04	4302594	EUR	
18/02/2009 00:00	46.125	46.985	45.465	46.23	3804040	EUR	
19/02/2009 00:00	46.895	47.2	45.625	45.8	3679439	EUR	
20/02/2009 00:00	45.06	45.74	44.4	44.465	5567295	EUR	
23/02/2009 00:00	44.915	45.555	44.63	44.945	3636645	EUR	
24/02/2009 00:00	44.35	45.495	44.15	44.205	4069323	EUR	
25/02/2009 00:00	44.43	44.98	43.08	43.685	4755889	EUR	
