date	ouv	haut	bas	clot	vol	devise	
08/01/2009 00:00	34.83	35.26	33.8	34.88	1627983	EUR	
09/01/2009 00:00	35.61	35.61	33.65	34.12	2292379	EUR	
12/01/2009 00:00	34.39	34.73	33.7	34.39	1977011	EUR	
13/01/2009 00:00	34.44	34.44	32.91	33.74	2542821	EUR	
14/01/2009 00:00	34.59	34.59	28.55	30.04	7185974	EUR	
15/01/2009 00:00	29.79	30.53	28.55	29.24	4189312	EUR	
16/01/2009 00:00	30.61	31.51	29.64	30.14	5099704	EUR	
19/01/2009 00:00	31.01	31.01	26.81	27.05	4744365	EUR	
20/01/2009 00:00	26.8	27.38	23.12	23.35	6322753	EUR	
21/01/2009 00:00	24.52	26.93	23.13	25.76	9254092	EUR	
22/01/2009 00:00	27.71	28.51	26.09	27.49	5801670	EUR	
23/01/2009 00:00	27.3	27.67	25.22	25.83	4248043	EUR	
26/01/2009 00:00	25.85	28.68	25.83	28.68	5087566	EUR	
27/01/2009 00:00	29.39	30.01	28.02	28.86	4204040	EUR	
28/01/2009 00:00	29.57	33.33	29.55	32.59	6945230	EUR	
29/01/2009 00:00	31.85	32.54	30.94	31.5	4042661	EUR	
30/01/2009 00:00	31.5	32.08	30.42	31.23	3553664	EUR	
02/02/2009 00:00	29.97	30.32	28.29	29.38	3216224	EUR	
03/02/2009 00:00	29.69	30.02	28.3	29.62	2820578	EUR	
04/02/2009 00:00	29.76	31.61	29.12	30.51	3047334	EUR	
05/02/2009 00:00	29.42	29.9	27.14	28.78	4904736	EUR	
06/02/2009 00:00	29.11	30.02	28.21	28.81	5011796	EUR	
09/02/2009 00:00	28.82	29.12	27.82	28.33	3322340	EUR	
10/02/2009 00:00	27.96	28.43	26.24	26.44	4870879	EUR	
11/02/2009 00:00	26.01	27.01	25.3	26.72	2906859	EUR	
12/02/2009 00:00	26.64	26.64	25.31	26.21	2747674	EUR	
13/02/2009 00:00	26.76	27.03	25.16	25.16	3394604	EUR	
16/02/2009 00:00	25.16	25.69	23.72	23.84	3247444	EUR	
17/02/2009 00:00	23.6	23.6	21.33	21.56	11692257	EUR	
18/02/2009 00:00	22.56	23.08	20.64	22.13	8232983	EUR	
19/02/2009 00:00	22.75	23.79	22.24	22.89	5953138	EUR	
20/02/2009 00:00	22.13	22.46	21.04	21.32	6209229	EUR	
23/02/2009 00:00	22.26	22.73	21.28	21.78	4084181	EUR	
24/02/2009 00:00	21.23	22.94	21.04	22.52	4586297	EUR	
25/02/2009 00:00	23.22	24.39	22.18	22.84	4303482	EUR	
26/02/2009 00:00	23.74	25.39	23.23	24.87	6238358	EUR	
27/02/2009 00:00	24.36	25.06	22.85	23.65	4801172	EUR	
02/03/2009 00:00	22.2	22.73	21.38	21.81	4699068	EUR	
03/03/2009 00:00	21.99	22.51	21.01	21.01	3986410	EUR	
04/03/2009 00:00	21.42	21.94	21	21.44	4857966	EUR	
05/03/2009 00:00	21.33	21.44	19.48	20.14	4500606	EUR	
06/03/2009 00:00	20.05	20.05	17.97	18.81	5790547	EUR	
09/03/2009 00:00	19.48	19.75	17.4	18.01	6226213	EUR	
10/03/2009 00:00	18.15	19.9	17.29	19.9	9947405	EUR	
11/03/2009 00:00	20.24	21.56	20.09	20.44	8176707	EUR	
12/03/2009 00:00	20.35	21.8	19.19	21.78	5841230	EUR	
13/03/2009 00:00	22.94	23.43	21.67	22.15	6743383	EUR	
16/03/2009 00:00	23.91	24.82	23.03	24.5	8060405	EUR	
17/03/2009 00:00	24.13	26.15	23.61	25.45	5837011	EUR	
18/03/2009 00:00	25.97	26.51	24.88	26.45	5280293	EUR	
19/03/2009 00:00	26.54	29.33	26.54	27.11	9476441	EUR	
20/03/2009 00:00	26.42	27.95	25.95	27.72	5314791	EUR	
23/03/2009 00:00	29.38	30.14	28.52	30.14	6053565	EUR	
24/03/2009 00:00	30.83	31.17	28.63	29.13	6667958	EUR	
25/03/2009 00:00	29.04	30.01	28.16	29.86	3757372	EUR	
