date	ouv	haut	bas	clot	vol	devise	
08/01/2009 00:00	31	31.35	30.32	31.065	1516154	EUR	
09/01/2009 00:00	31.05	31.675	30.51	30.865	1539250	EUR	
12/01/2009 00:00	30.61	30.985	30.08	30.31	1543466	EUR	
13/01/2009 00:00	30.26	30.3	28.98	29.44	2387509	EUR	
14/01/2009 00:00	29.735	29.835	27.685	27.96	2527738	EUR	
15/01/2009 00:00	28.12	28.65	27.11	27.825	3042839	EUR	
16/01/2009 00:00	28.3	29.64	28.3	28.785	3073789	EUR	
19/01/2009 00:00	29.435	29.57	27.965	28.485	1664259	EUR	
20/01/2009 00:00	28.585	29.06	27.6	27.855	2114693	EUR	
21/01/2009 00:00	27.495	28.29	27.055	27.79	3273877	EUR	
22/01/2009 00:00	28.15	28.71	27.52	27.865	2631624	EUR	
23/01/2009 00:00	27.86	27.98	26.4	27.05	3400721	EUR	
26/01/2009 00:00	26.8	27.95	26.7	27.575	3232774	EUR	
27/01/2009 00:00	27.79	27.79	26.21	26.845	4019203	EUR	
28/01/2009 00:00	27.365	28.08	27.215	27.89	2619330	EUR	
29/01/2009 00:00	27.69	28.12	27.38	27.55	2940944	EUR	
30/01/2009 00:00	27.48	27.68	26.53	26.84	2949567	EUR	
02/02/2009 00:00	26.505	26.93	25.775	26.58	1917480	EUR	
03/02/2009 00:00	26.75	27.23	26.05	26.485	2532549	EUR	
04/02/2009 00:00	26.87	28.54	26.16	27.945	4552203	EUR	
05/02/2009 00:00	27.45	28.3	27.145	28.24	1838652	EUR	
06/02/2009 00:00	28.47	29.95	28.4	29.88	3525558	EUR	
09/02/2009 00:00	30	30.76	29.61	30.525	3264898	EUR	
10/02/2009 00:00	30.36	30.4	28.88	28.94	2890654	EUR	
11/02/2009 00:00	28.83	29.475	28.44	29.325	1789666	EUR	
12/02/2009 00:00	29.09	29.11	28	28.51	2153257	EUR	
13/02/2009 00:00	29	29.45	28.735	29.255	2073659	EUR	
16/02/2009 00:00	29.07	29.235	28.74	28.805	1105195	EUR	
17/02/2009 00:00	28.565	28.565	27.18	27.65	2911055	EUR	
18/02/2009 00:00	27.91	27.96	27.03	27.685	1801598	EUR	
19/02/2009 00:00	27.925	28.45	27.33	28.09	1998319	EUR	
20/02/2009 00:00	27.395	27.84	26.14	26.14	4227590	EUR	
23/02/2009 00:00	27.445	27.55	25.835	25.94	1957114	EUR	
24/02/2009 00:00	25.705	26.5	25.06	26.16	2902468	EUR	
25/02/2009 00:00	26.995	26.995	25.25	25.635	2165864	EUR	
26/02/2009 00:00	26	26.975	25.91	26.67	2875839	EUR	
27/02/2009 00:00	26.2	26.4	25.305	25.745	3167121	EUR	
02/03/2009 00:00	25.23	25.46	24.6	24.69	2824405	EUR	
03/03/2009 00:00	24.7	25.49	24.6	24.86	3084987	EUR	
04/03/2009 00:00	25.96	27.81	25.825	27.755	7175662	EUR	
05/03/2009 00:00	27.75	27.75	26.69	26.69	3896723	EUR	
06/03/2009 00:00	26.44	27.19	26.24	26.29	2931302	EUR	
09/03/2009 00:00	26.7	26.7	25.255	25.54	3167782	EUR	
10/03/2009 00:00	25.6	27.565	25.4	27.33	4287152	EUR	
11/03/2009 00:00	27.225	28.875	26.855	28.39	4004131	EUR	
12/03/2009 00:00	27.915	28.555	27.06	28.47	2423186	EUR	
13/03/2009 00:00	28.89	29.09	27.925	28.07	2755939	EUR	
16/03/2009 00:00	28.9	29.29	28.29	28.935	2255597	EUR	
17/03/2009 00:00	29.43	29.5	28.2	28.8	2763940	EUR	
18/03/2009 00:00	29.15	29.445	27.9	28.62	2268159	EUR	
19/03/2009 00:00	28.915	29.29	27.88	28.105	2997509	EUR	
20/03/2009 00:00	27.895	28.89	27.7	28.89	3560910	EUR	
23/03/2009 00:00	28.95	29.475	28.6	29.3	3074026	EUR	
24/03/2009 00:00	29.8	29.95	28.675	29.18	3039019	EUR	
25/03/2009 00:00	29.03	29.665	28.59	29.32	1889061	EUR	
26/03/2009 00:00	29.505	29.59	28.81	29.09	1696306	EUR	
27/03/2009 00:00	29.2	29.29	28.17	28.325	2189796	EUR	
30/03/2009 00:00	27.95	27.95	27	27.1	2180909	EUR	
31/03/2009 00:00	27.205	28.07	27.205	27.955	2012658	EUR	
01/04/2009 00:00	27.9	29.07	27.305	28.87	2371205	EUR	
02/04/2009 00:00	29.27	30.945	29.215	30.89	4696503	EUR	
03/04/2009 00:00	30.625	31.18	30.19	30.62	2350247	EUR	
06/04/2009 00:00	31	31.275	29.55	29.85	2773177	EUR	
07/04/2009 00:00	29.905	30.19	29	29.37	2126680	EUR	
08/04/2009 00:00	29	30.26	28.85	30.015	2161839	EUR	
