nomcom;numdep;insee;geo_point_2d;geo_shape;shape_leng;shape_area
Gambais;78;78263;48.7796089951, 1.67651742335;"{""type"": ""Polygon"", ""coordinates"": [[[1.726837223915476, 48.78613239404296], [1.720929457981207, 48.780582363536205], [1.705637228252093, 48.77977901785679], [1.699484175721061, 48.77436013228491], [1.698996813965465, 48.77098166303022], [1.71108263993238, 48.764303384467794], [1.714760362490518, 48.758064396022], [1.695020420419777, 48.7580302159449], [1.692709642827216, 48.76120723780452], [1.682456122950428, 48.763154460644635], [1.629702586948254, 48.763208489363855], [1.619741651210736, 48.771477399283576], [1.637641901275056, 48.777547771838144], [1.634904022276595, 48.786997403013096], [1.640743275938541, 48.79224513708118], [1.703062075933155, 48.79960296229252], [1.727099215410122, 48.798269296543864], [1.722888172693272, 48.79731589150599], [1.726837223915476, 48.78613239404296]]]}";23893.5163466;23102702.0
Champs-sur-Marne;77;77083;48.8483311726, 2.59610325483;"{""type"": ""Polygon"", ""coordinates"": [[[2.610504694242875, 48.830368221110454], [2.586280886618702, 48.834253025891684], [2.573836357337155, 48.85338335537369], [2.582522199555393, 48.85620191373196], [2.58733163810703, 48.86500504965998], [2.600012180350103, 48.86632514189923], [2.610242106079782, 48.8582019944383], [2.612801122233473, 48.85131241614972], [2.610504694242875, 48.830368221110454]]]}";11135.4980213;7795605.0
Jouy-sur-Morin;77;77240;48.7955034518, 3.27252320756;"{""type"": ""Polygon"", ""coordinates"": [[[3.278962341081843, 48.76614708803393], [3.258833035501963, 48.764726383492736], [3.246505870202459, 48.770256765622285], [3.243251267491079, 48.787198901517634], [3.250826194016223, 48.79155422492439], [3.264258936756703, 48.820673744218176], [3.274474987361769, 48.82093852466228], [3.281569073580549, 48.82566162339186], [3.290821800913667, 48.82396668440853], [3.300887428648432, 48.82163044057867], [3.303300194153667, 48.814960099828085], [3.291703091331475, 48.79159634742153], [3.277834749621299, 48.77668162488837], [3.278962341081843, 48.76614708803393]]]}";18200.0282842;17954264.0
Franconville;95;95252;48.9884161105, 2.2238932062;"{""type"": ""Polygon"", ""coordinates"": [[[2.228754239386479, 48.972875751746535], [2.205149359876183, 48.98362074710023], [2.204245167505613, 48.99002646729428], [2.213236850029517, 49.00173105227966], [2.21494623952171, 49.00347778747939], [2.217128189840217, 49.002898539827925], [2.243522538577889, 48.994336150942765], [2.242380838403832, 48.983600864430905], [2.237344488289397, 48.98324522023138], [2.236539789543013, 48.97663952706103], [2.228754239386479, 48.972875751746535]]]}";9842.98009957;6283180.00001
Fontenay-sous-Bois;94;94033;48.8511046382, 2.47395409774;"{""type"": ""Polygon"", ""coordinates"": [[[2.467245943198051, 48.839088269853825], [2.447852027015208, 48.84481015467711], [2.456159814159428, 48.846512008596655], [2.455516394414247, 48.84940498673148], [2.447103397771503, 48.851156107610656], [2.454295126762971, 48.855416045949895], [2.481534079339179, 48.861409850048986], [2.496392095141792, 48.85990845268808], [2.499717550238719, 48.85567752564453], [2.491523260867017, 48.84763882832876], [2.467245943198051, 48.839088269853825]]]}";10715.5163719;5741491.99999
Vaudherland;95;95633;49.0004967295, 2.48642956224;"{""type"": ""Polygon"", ""coordinates"": [[[2.48812447810072, 49.00220217946353], [2.489275226401863, 49.001928324173576], [2.487761832482138, 48.99878359492473], [2.485761099159672, 48.9993325556983], [2.48349325822913, 48.99925087869588], [2.483776577094903, 49.00099658638227], [2.48812447810072, 49.00220217946353]]]}";1321.66248412;100233.5
Saint-Cyr-sur-Morin;77;77405;48.9119288243, 3.17472722013;"{""type"": ""Polygon"", ""coordinates"": [[[3.140130511039785, 48.8864713784662], [3.133365601272707, 48.8913622810317], [3.141483999105456, 48.90781891405104], [3.155291514092467, 48.912900720109384], [3.161038498508922, 48.92269520486749], [3.189220870363558, 48.9422758942639], [3.217846915987711, 48.93229947973286], [3.210058941441966, 48.92012831507429], [3.201119831568292, 48.923327070748535], [3.198065858666357, 48.9204814711266], [3.189083856031447, 48.90082874446735], [3.193384475746553, 48.89452684715645], [3.187937688125988, 48.8893915536222], [3.167709510117788, 48.892443224344206], [3.160575056543838, 48.88748889196824], [3.140130511039785, 48.8864713784662]]]}";20494.9368503;18699668.5
Chevrainvilliers;77;77112;48.2459789311, 2.60246070694;"{""type"": ""Polygon"", ""coordinates"": [[[2.586584971201825, 48.232338826025405], [2.57272376594561, 48.244337589564985], [2.576068103569985, 48.25562378515569], [2.584816160382239, 48.25345039054609], [2.630231513392097, 48.25956658827031], [2.628008702896883, 48.25376512552767], [2.633516928129957, 48.24634123188655], [2.630146315043913, 48.24481911686486], [2.615312310484079, 48.23593596828897], [2.605493107534132, 48.23421201460165], [2.586584971201825, 48.232338826025405]]]}";12635.0330234;9098609.49998
Donnemarie-Dontilly;77;77159;48.4778429138, 3.11825735705;"{""type"": ""Polygon"", ""coordinates"": [[[3.145235590329368, 48.45790631393884], [3.124808233043044, 48.45622026342847], [3.102045932305066, 48.46328604226755], [3.097248583425583, 48.47310486522449], [3.106695091234432, 48.48126519931565], [3.092403981967843, 48.49553584482351], [3.088752759010409, 48.50546112677121], [3.103320234710089, 48.50595312288682], [3.111100359261753, 48.497624884250236], [3.126837759911838, 48.48454694657381], [3.150875745307182, 48.48146918334471], [3.151434463373195, 48.47813992433566], [3.14024672582811, 48.473853526997694], [3.141427100588515, 48.46503590393759], [3.145235590329368, 48.45790631393884]]]}";17702.3668225;12462640.0
Vanves;92;92075;48.8215227089, 2.28739490768;"{""type"": ""Polygon"", ""coordinates"": [[[2.278179169818622, 48.814254149425544], [2.272566370809181, 48.81440000991327], [2.279395187834624, 48.818893346034436], [2.281272073214195, 48.82501147379046], [2.289399238300263, 48.82835177916151], [2.301320806267096, 48.82513028921861], [2.291556285820991, 48.817976691091225], [2.278179169818622, 48.814254149425544]]]}";5599.73496551;1502723.99999
Milly-la-Forêt;91;91405;48.4032948231, 2.46495403521;"{""type"": ""Polygon"", ""coordinates"": [[[2.427873892841799, 48.36331991995495], [2.409810589096114, 48.37400982165102], [2.408140164853832, 48.38684920233939], [2.408423280274409, 48.39650431065423], [2.424311219656035, 48.412524878618626], [2.416290576127806, 48.41557156644885], [2.423931907811937, 48.42124087329026], [2.438818828350253, 48.4207274461377], [2.452223508684698, 48.41585990853672], [2.461659524355531, 48.418242252375165], [2.461092694093542, 48.42475327025847], [2.485764776646673, 48.42579842706799], [2.505029301550171, 48.42986585641233], [2.517310537731095, 48.427685302406644], [2.547059833704172, 48.401424399461895], [2.521783809659711, 48.404042181384845], [2.506479610477621, 48.394910713680154], [2.486034562055404, 48.39683014383676], [2.473831970927024, 48.390388855265044], [2.457198738937566, 48.3973674102778], [2.441925702519051, 48.38016638875666], [2.438748032739914, 48.370398630886044], [2.427873892841799, 48.36331991995495]]]}";31592.3247594;34241478.0
Nogent-sur-Marne;94;94052;48.8366634713, 2.48166741533;"{""type"": ""Polygon"", ""coordinates"": [[[2.465755861466258, 48.82628372037433], [2.467245943198051, 48.839088269853825], [2.491523260867017, 48.84763882832876], [2.497599519350123, 48.83081062067052], [2.475805615804708, 48.830618156735014], [2.465755861466258, 48.82628372037433]]]}";7852.42889537;3138180.0
Sonchamp;78;78601;48.5880930813, 1.86888636176;"{""type"": ""Polygon"", ""coordinates"": [[[1.894074289416782, 48.53501164383858], [1.876130328804532, 48.5417167408192], [1.872429327359196, 48.54812320527918], [1.854753509887769, 48.560207494063675], [1.850072194783581, 48.561691723785174], [1.840521462342749, 48.55903502304753], [1.832589596326585, 48.56344667318681], [1.83230903705774, 48.571171841475525], [1.824448494848358, 48.594044042250694], [1.830928941349701, 48.62026860357497], [1.857693811733357, 48.63423813530981], [1.877043502157157, 48.63507880714336], [1.892020272511097, 48.6264480901866], [1.875220602437732, 48.614433958181884], [1.928634188017245, 48.58195604403429], [1.915249582258416, 48.57682391013692], [1.908747603228269, 48.56744433563114], [1.89979388772912, 48.563925275049506], [1.902147088068115, 48.55770354898043], [1.89494509725121, 48.553471523633014], [1.896490743465937, 48.537984960562525], [1.894074289416782, 48.53501164383858]]]}";31632.9779452;46437552.5
Orsonville;78;78472;48.4779086815, 1.82683665622;"{""type"": ""Polygon"", ""coordinates"": [[[1.839126315842793, 48.45803203221039], [1.834566399911584, 48.467236431967194], [1.810509447350769, 48.46612512841611], [1.802130682434868, 48.468092245916644], [1.800663525999327, 48.474276476227224], [1.793727092359644, 48.478767761286726], [1.796336238053647, 48.48419249060967], [1.800144135845646, 48.486345329548016], [1.812919579427647, 48.48159730081926], [1.825422692684076, 48.4871018346762], [1.82961019583912, 48.496571987531524], [1.842812985133985, 48.49514486017752], [1.850012013843413, 48.47919118014298], [1.8527523620426, 48.46959084479227], [1.843922997397196, 48.4668780505852], [1.839126315842793, 48.45803203221039]]]}";14907.9998213;9504775.49999
Amillis;77;77002;48.7355504117, 3.13534283623;"{""type"": ""Polygon"", ""coordinates"": [[[3.126340230362202, 48.70511969348664], [3.106629635393484, 48.71549146034397], [3.107888872315675, 48.732903225079106], [3.119417025916617, 48.76187119655249], [3.129331854933117, 48.760826564209154], [3.134650173514582, 48.75524440269094], [3.150110869805231, 48.7628798651274], [3.154683080213251, 48.763260772059596], [3.160521848185399, 48.7552034353236], [3.159804697950222, 48.75199352251648], [3.17207186898527, 48.74742547149591], [3.172237993480462, 48.74418735227585], [3.165737606909538, 48.73567908857934], [3.157351580198953, 48.732335601054764], [3.148683838324428, 48.72039334670557], [3.148841154682633, 48.713584444311934], [3.135684015281592, 48.70815853579167], [3.126340230362202, 48.70511969348664]]]}";19016.5737504;19961371.5
Saint-Clair-sur-Epte;95;95541;49.2131541909, 1.70318156018;"{""type"": ""Polygon"", ""coordinates"": [[[1.671824653107444, 49.1808930248431], [1.670536993515365, 49.18990645093818], [1.675944111513685, 49.199479087079226], [1.673193196726486, 49.20562598937589], [1.676291302225158, 49.21218784884532], [1.699560828118969, 49.226116957116034], [1.704364206596893, 49.23220177516344], [1.710967368713683, 49.237190707363105], [1.740453152102055, 49.223440195339904], [1.735820917820505, 49.22200705971469], [1.7331944987452, 49.212107081558514], [1.715641456309916, 49.206013967456386], [1.715546355609403, 49.20265915799685], [1.706339192557916, 49.19990817938744], [1.701581484912836, 49.20578236742737], [1.696483244812917, 49.205520522325244], [1.682786591167123, 49.19587655074114], [1.681200576321383, 49.182740440098215], [1.671824653107444, 49.1808930248431]]]}";18855.7106912;12431151.0
Moisenay;77;77295;48.5645621495, 2.74111082771;"{""type"": ""Polygon"", ""coordinates"": [[[2.728288538901328, 48.54671716174246], [2.724827924350641, 48.56588775493056], [2.71546438004142, 48.573044118818565], [2.710570476995296, 48.57313126531634], [2.722595901590187, 48.577882508732664], [2.735094923149907, 48.58056463137278], [2.753119065334147, 48.5733800766662], [2.762452753009251, 48.574676426724196], [2.765635512680465, 48.57227196338907], [2.763493986445113, 48.56322727843734], [2.756658874687683, 48.555459343565126], [2.76593423724106, 48.553948711673755], [2.728288538901328, 48.54671716174246]]]}";13787.9987786;8770493.00001
Saint-Siméon;77;77436;48.8045983956, 3.19433416433;"{""type"": ""Polygon"", ""coordinates"": [[[3.162623590090389, 48.78801036108079], [3.165252722845984, 48.81879203687986], [3.188294823141907, 48.80712926615587], [3.193146208250339, 48.80823673631486], [3.201635847856696, 48.82406038432105], [3.210954461340268, 48.82461989305667], [3.220693511130591, 48.83114057340946], [3.224576124614817, 48.82171716368486], [3.214540208489449, 48.795690047359216], [3.21798503877046, 48.78935220954521], [3.178427200953568, 48.78838353570962], [3.162623590090389, 48.78801036108079]]]}";18399.8917536;13039209.5
Vaucresson;92;92076;48.8410515899, 2.16026455161;"{""type"": ""Polygon"", ""coordinates"": [[[2.151465535500457, 48.82140868785491], [2.148475927847976, 48.82849268523686], [2.145872522607817, 48.836901430637404], [2.15003231597016, 48.84666240780293], [2.159867593277513, 48.84772119662742], [2.182605727070647, 48.85156614437133], [2.179811681931084, 48.84552120498508], [2.167349058134674, 48.84089323611043], [2.166622818791542, 48.83774033147077], [2.156419228745145, 48.837659812082414], [2.151465535500457, 48.82140868785491]]]}";10052.3920565;3047339.5
Houssaye-en-Brie (la);77;77229;48.756188625, 2.86795216078;"{""type"": ""Polygon"", ""coordinates"": [[[2.856323312650211, 48.73347711975799], [2.85731635895685, 48.74325496431908], [2.849269728553019, 48.746527927843104], [2.848929943956331, 48.7558543421453], [2.847528345833451, 48.77466791192513], [2.857360906770931, 48.78171324682964], [2.862289077848389, 48.781107448371735], [2.873080884000068, 48.770020966589605], [2.892618880088438, 48.77030994451743], [2.886325611353167, 48.76109432426635], [2.88929315543623, 48.74095941819872], [2.883974090143364, 48.735728762387026], [2.856323312650211, 48.73347711975799]]]}";15375.2352705;12273619.0
